lambda_s,cv,competing_mort,age,hazard_pop
0.0,0.6,False,27.5,0.002157388009278181
0.0,0.6,False,28.5,0.0023944142663002398
0.0,0.6,False,29.5,0.0026388820569476883
0.0,0.6,False,30.5,0.002889495276978458
0.0,0.6,False,31.5,0.003144976266524065
0.0,0.6,False,32.5,0.003404085089302238
0.0,0.6,False,33.5,0.003665634996107725
0.0,0.6,False,34.5,0.003928504295357083
0.0,0.6,False,35.5,0.004191644951584687
0.0,0.6,False,36.5,0.004454088289071814
0.0,0.6,False,37.5,0.004714948201072284
0.0,0.6,False,38.5,0.004973422263686982
0.0,0.6,False,39.5,0.005228791134634978
0.0,0.6,False,40.5,0.005480416587049593
0.0,0.6,False,41.5,0.005727738491824116
0.0,0.6,False,42.5,0.005970271022622855
0.0,0.6,False,43.5,0.00620759831811968
0.0,0.6,False,44.5,0.006439369798166439
0.0,0.6,False,45.5,0.006665295295584954
0.0,0.6,False,46.5,0.006885140133776183
0.0,0.6,False,47.5,0.007098720252627641
0.0,0.6,False,48.5,0.007305897461285098
0.0,0.6,False,49.5,0.007506574876073094
0.0,0.6,False,50.5,0.007700692584928007
0.0,0.6,False,51.5,0.007888223565811061
0.0,0.6,False,52.5,0.008069169875335278
0.0,0.6,False,53.5,0.008243559114921884
0.0,0.6,False,54.5,0.00841144117484562
0.0,0.6,False,55.5,0.00857288525122972
0.0,0.6,False,56.5,0.008727977127127178
0.0,0.6,False,57.5,0.008876816706021546
0.0,0.6,False,58.5,0.009019515784189852
0.0,0.6,False,59.5,0.009156196047203198
0.0,0.6,False,60.5,0.009286987275245358
0.0,0.6,False,61.5,0.009412025741774044
0.0,0.6,False,62.5,0.009531452790229471
0.0,0.6,False,63.5,0.009645413573920122
0.0,0.6,False,64.5,0.009754055944819363
0.0,0.6,False,65.5,0.009857529477728345
0.0,0.6,False,66.5,0.009955984617058385
0.0,0.6,False,67.5,0.010049571934326556
0.0,0.6,False,68.5,0.010138441485308701
0.0,0.6,False,69.5,0.010222742256642978
0.0,0.6,False,70.5,0.010302621692501622
0.0,0.6,False,71.5,0.010378225292743406
0.0,0.6,False,72.5,0.0104496962747148
0.0,0.6,False,73.5,0.010517175291580666
0.0,0.6,False,74.5,0.010580800200731006
0.0,0.6,False,75.5,0.010640705876430335
0.0,0.6,False,76.5,0.010697024061449668
0.0,0.6,False,77.5,0.010749883252947902
0.0,0.6,False,78.5,0.01079940861835356
0.0,0.6,False,79.5,0.010845721937439462
0.0,0.6,False,80.5,0.010888941567184693
0.0,0.6,False,81.5,0.010929182426384871
0.0,0.6,False,82.5,0.010966555997301805
0.0,0.6,False,83.5,0.011001170341943027
0.0,0.6,False,84.5,0.01103313013083215
0.0,0.6,False,85.5,0.01106253668237309
0.0,0.6,False,86.5,0.011089488011131812
0.0,0.6,False,87.5,0.011114078883552057
0.0,0.6,False,88.5,0.011136400879801028
0.0,0.6,False,89.5,0.011156542460594639
0.0,0.6,False,90.5,0.011174589037996023
0.0,0.6,False,91.5,0.011190623049303182
0.0,0.6,False,92.5,0.011204724033256137
0.0,0.6,False,93.5,0.011216968707891711
0.0,0.6,False,94.5,0.011227431049462975
0.0,0.6,False,95.5,0.011236182371921024
0.0,0.6,False,96.5,0.011243291406521997
0.0,0.6,False,97.5,0.011248824381189343
0.0,0.6,False,98.5,0.011252845099312323
0.0,0.6,False,99.5,0.011255415017711051
0.0,0.6,False,100.5,0.0112565933235416
0.0,0.6,False,101.5,0.011256437009951568
0.0,0.6,False,102.5,0.011255000950329712
0.0,0.6,False,103.5,0.011252337971021648
0.0,0.6,False,104.5,0.01124849892241074
0.0,0.6,False,105.5,0.011243532748283235
0.0,0.6,False,106.5,0.011237486553417135
0.0,0.6,False,107.5,0.0112304056693519
0.0,0.6,False,108.5,0.01122233371830919
0.0,0.6,False,109.5,0.011213312675248019
0.0,0.6,False,110.5,0.011203382928049628
0.0,0.6,False,111.5,0.011192583335834791
0.0,0.6,False,112.5,0.011180951285425535
0.0,0.6,False,113.5,0.011168522745970102
0.0,0.6,False,114.5,0.011155332321754453
0.0,0.6,False,115.5,0.011141413303229816
0.0,0.6,False,116.5,0.011126797716288947
0.0,0.6,False,117.5,0.011111516369826355
0.0,0.6,False,118.5,0.011095598901622055
0.0,0.6,False,119.5,0.011079073822588555
0.0,0.6,False,120.5,0.011061968559423754
0.0,0.6,True,0.5,1.9254809791602678e-11
0.0,0.6,True,1.5,4.463540414752543e-09
0.0,0.6,True,2.5,5.477278771948459e-08
